control_method_type,extension_1,extension_2,
composite,carbon,carbon,
,,graphene,
,,reduced graphene oxide (rGO),
,,nitrogen-doped carbon,
,,graphitic carbon nitride (g-C3N4),
,,nitrogen-doped graphene,
,,carbon nanotube,
,,graphene oxide (GO),
,,nitrogen-doped reduced graphene oxide,
,metal,Ag,
,,Au,
,,Zn,
,,Bi,
,,Co,
,,Ni,
,,Pb,
,,Sb,
,,Sn,
,,Cu,
,,Fe,
,,Pd,
,,Cd,
,,In,
,metal oxide,CeO2,
,,ZrO2,
,,AgOx,
,,ZnOx,
,,CuO,
,,SnO2,
,,ZnO,
,,In2O3,
,,TiO2,
,,FeO,
,,InOx,
,,Co3O4,
,,SnOx,
,,NiOx,
,,Cu2O,
,metal hydroxide,In(OH)3,
,,Ni(OH)2,
,,Al(OH)3,
,metal sulfide,CuS,
,,Cu2S,
,,Cu1.96S,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
