control_method_type,extension_1,extension_2,
structure control,composition control,ratio,
,,content,
,phase control,microcrystalline phase,
,,phase-blended ,
,,phase-separated,
,facet control,Cu (001),
,,Cu (100),
,,Cu (110),
,,Cu (111),
,,Cu2O (100),
,,Cu2O (110),
,,Cu2O (111),
,size control,diameter,
,,thickness,
,,length,
,morphology control,array,
,,cube,
,,film,
,,foam,
,,prism,
,,surface construction,
,,hollow,
,,heterostructure,
,,hierarchical structure,
,,nanostructure,
,,nanowire,
,,nanoparticle,
,,nanofiber,
,,nanosheet,
,,nanocrystal,
,,nanosphere,
,,nanoneedle,
,,nanocube,
,3D structure,3D structure,
,,3D heterostructure,
,,3D hierarchical structure,
,,3D self-supporting structure,
,,3D array structure,
,,3D porous structure,
,core-shell structure,core-shell structure,
,,hierarchical core/shell structure,
,,core-shell porous-structure,
,,dendritic core-shell structure,
,dendritic structure,dendritic structure,
,,nanodendrites,
,,micro-structured dendritic,
,,dendritic structures with low porosity,
,,needle-like dendritic structure,
,,dendritic catalysts on mesh supports,
,,porous dendritic structure,
,porous structure,porous structure,
,,mesoporous structure,
,,nanoporous structure,
,,porous film,
,,porous foam,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
