control_method_type,extension_1,extension_2,
surface/interface modification,nonmetal,B,
,,P,
,,Br,
,,S,
,,F,
,,phosphate,
,ionic liquid,1-butyl-3-methylimidazolium nitrate (BmimNO3),
,polymer,polytetrafluoroethylene (PTFE),
,,poly(acrylamide),
,,tricomponent copolymer,
,,anti-swelling anion exchange ionomer,
,,bilayer cation- and anion-conducting ionomer,
,,Nafion,
,organic molecular compound,amino,
,,hydrophobic 1-octadecanethiol molecular,
,,dihexadecyl dimethyl ammonium,
,,"N,N’-ethylene-phenanthrolinium dibromide",
,,cetyltrimethylammonium bromide (CTAB),
,,thiocyanate,
,,methanethiol ,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
